Column1,Column2
Category: Food & Drink,
,
Month,Ceylon cinnamon: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,10
2010-11,0
2010-12,0
2011-01,9
2011-02,0
2011-03,0
2011-04,16
2011-05,0
2011-06,0
2011-07,8
2011-08,0
2011-09,0
2011-10,8
2011-11,9
2011-12,7
2012-01,0
2012-02,10
2012-03,0
2012-04,11
2012-05,11
2012-06,7
2012-07,6
2012-08,10
2012-09,10
2012-10,8
2012-11,9
2012-12,12
2013-01,15
2013-02,19
2013-03,16
2013-04,16
2013-05,15
2013-06,15
2013-07,12
2013-08,21
2013-09,17
2013-10,17
2013-11,18
2013-12,19
2014-01,23
2014-02,22
2014-03,20
2014-04,19
2014-05,20
2014-06,13
2014-07,15
2014-08,17
2014-09,19
2014-10,26
2014-11,21
2014-12,21
2015-01,27
2015-02,23
2015-03,18
2015-04,18
2015-05,23
2015-06,21
2015-07,17
2015-08,20
2015-09,18
2015-10,21
2015-11,20
2015-12,25
2016-01,28
2016-02,26
2016-03,22
2016-04,23
2016-05,26
2016-06,18
2016-07,23
2016-08,20
2016-09,30
2016-10,28
2016-11,21
2016-12,30
2017-01,26
2017-02,28
2017-03,30
2017-04,32
2017-05,27
2017-06,25
2017-07,28
2017-08,30
2017-09,28
2017-10,25
2017-11,27
2017-12,29
2018-01,32
2018-02,31
2018-03,28
2018-04,25
2018-05,25
2018-06,27
2018-07,28
2018-08,28
2018-09,26
2018-10,27
2018-11,33
2018-12,29
2019-01,37
2019-02,37
2019-03,32
2019-04,21
2019-05,28
2019-06,28
2019-07,25
2019-08,22
2019-09,32
2019-10,28
2019-11,38
2019-12,33
2020-01,35
2020-02,31
2020-03,28
2020-04,38
2020-05,38
2020-06,30
2020-07,36
2020-08,37
2020-09,40
2020-10,35
2020-11,34
2020-12,37
2021-01,40
2021-02,38
2021-03,38
2021-04,31
2021-05,27
2021-06,27
2021-07,30
2021-08,36
2021-09,27
2021-10,32
2021-11,34
2021-12,31
2022-01,35
2022-02,31
2022-03,31
2022-04,33
2022-05,29
2022-06,27
2022-07,27
2022-08,29
2022-09,37
2022-10,41
2022-11,41
2022-12,41
2023-01,39
2023-02,34
2023-03,39
2023-04,42
2023-05,35
2023-06,35
2023-07,37
2023-08,42
2023-09,39
2023-10,39
2023-11,46
2023-12,51
2024-01,58
2024-02,54
2024-03,60
2024-04,48
2024-05,44
2024-06,46
2024-07,45
2024-08,68
